title,id,brand_normalized,ddr_type,capacity_gb,speed_mhz,price_usd,cluster,cluster_8
Team Group 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory Model FF3D516G6000HC38ADC01,1,Team,DDR5,16,6000,259.99,0,0
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36,2,CORSAIR,DDR5,32,6000,449.99,0,1
Team T-Force Delta RGB 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model TF3D416G3200HC16FDC01,3,Team,DDR4,16,3200,157.99,1,7
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH32GX5M2N6400C36,4,CORSAIR,DDR5,32,6400,489.99,0,1
CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK32GX4M2E3200C16,5,CORSAIR,DDR4,32,3200,219.99,1,3
Team Group 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory Model FF4D516G6000HC38ADC01,6,Team,DDR5,16,6000,249.99,0,0
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36W,7,CORSAIR,DDR5,32,6000,449.99,0,1
G.SKILL Ripjaws S5 Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F32GX2-RS5K,8,G.SKILL,DDR5,64,6000,909.99,0,4
Crucial Pro Overclocking 32GB (2 x 16GB) DDR5 6400 (PC5 51200) Desktop Memory Model CP2K16G64C32U5B,9,Crucial,DDR5,32,6400,389.99,0,0
G.SKILL Flare X5 Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 Desktop Memory Model F5-6000J3636F16GX2-FX5,10,G.SKILL,DDR5,32,6000,479.99,0,0
G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-16GVKB,11,G.SKILL,DDR4,16,3200,154.99,1,3
