title,brand,brand_normalized,source_url,ddr_type,form_factor,has_rgb,capacity_gb,speed_mhz,cas_latency,cas_latency_imputed,cas_was_imputed,num_sticks,price_per_gb,price_usd,log_price,scraped_at
Team Group 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory Model FF3D516G6000HC38ADC01,Team,Team,https://www.newegg.com/team-group-16gb-ddr5-6000-cas-latency-cl38-memory-black/p/N82E16820985307?Item=N82E16820985307,DDR5,DIMM,False,16,6000,38,38,False,2,16.25,259.99,5.564482092412441,2026-05-08T19:27:51.101749
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820236991?Item=N82E16820236991,DDR5,DIMM,True,32,6000,36,36,False,2,14.06,449.99,6.111445166307853,2026-05-08T19:27:51.102219
Team T-Force Delta RGB 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model TF3D416G3200HC16FDC01,Team,Team,https://www.newegg.com/team-group-t-force-delta-rgb-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820331858?Item=N82E16820331858,DDR4,DIMM,True,16,3200,16,16,False,2,9.87,157.99,5.068841307160618,2026-05-08T19:27:51.102628
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH32GX5M2N6400C36,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6400-cas-latency-cl36-desktop-memory-black/p/N82E16820982185?Item=N82E16820982185,DDR5,DIMM,True,32,6400,36,36,False,2,15.31,489.99,6.196423760988341,2026-05-08T19:27:51.103131
CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK32GX4M2E3200C16,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-lpx-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236541?Item=N82E16820236541,DDR4,DIMM,False,32,3200,16,16,False,2,6.87,219.99,5.398117451625214,2026-05-08T19:27:51.103803
Team Group 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory Model FF4D516G6000HC38ADC01,Team,Team,https://www.newegg.com/team-group-16gb-ddr5-6000-cas-latency-cl38-memory-white/p/N82E16820985308?Item=9SIA2W0KS76423,DDR5,DIMM,False,16,6000,38,38,False,2,15.62,249.99,5.525413097700675,2026-05-08T19:27:51.104442
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36W,CORSAIR,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-white/p/N82E16820982058?Item=N82E16820982058,DDR5,DIMM,True,32,6000,36,36,False,2,14.06,449.99,6.111445166307853,2026-05-08T19:27:51.105129
G.SKILL Ripjaws S5 Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F32GX2-RS5K,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-ripjaws-s5-series-64gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374497?Item=N82E16820374497,DDR5,DIMM,False,64,6000,36,36,False,2,14.22,909.99,6.814531920251303,2026-05-08T19:27:51.105790
Crucial Pro Overclocking 32GB (2 x 16GB) DDR5 6400 (PC5 51200) Desktop Memory Model CP2K16G64C32U5B,Crucial,Crucial,https://www.newegg.com/crucial-pro-overclocking-32gb-2-x-16gb-ddr5-6400-pc5-51200-cas-latency-cl32-desktop-memory-black/p/N82E16820156450?Item=N82E16820156450,DDR5,DIMM,False,32,6400,32,32,False,2,12.19,389.99,5.968681984210738,2026-05-08T19:27:51.106458
G.SKILL Flare X5 Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 Desktop Memory Model F5-6000J3636F16GX2-FX5,G.SKILL,G.SKILL,https://www.newegg.com/g-skill-flare-x5-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374419?Item=N82E16820374419,DDR5,DIMM,False,32,6000,36,36,False,2,15.0,479.99,6.175846479868856,2026-05-08T19:27:51.107218
