title,brand,source_url,ddr_type,capacity_gb,speed_mhz,cas_latency,num_sticks,form_factor,has_rgb,price_usd,scraped_at
Team Group 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory Model FF3D516G6000HC38ADC01,Team,https://www.newegg.com/team-group-16gb-ddr5-6000-cas-latency-cl38-memory-black/p/N82E16820985307?Item=N82E16820985307,DDR5,16,6000,38,2,DIMM,False,259.99,2026-05-08T19:27:51.101749
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820236991?Item=N82E16820236991,DDR5,32,6000,36,2,DIMM,True,449.99,2026-05-08T19:27:51.102219
Team T-Force Delta RGB 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model TF3D416G3200HC16FDC01,Team,https://www.newegg.com/team-group-t-force-delta-rgb-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820331858?Item=N82E16820331858,DDR4,16,3200,16,2,DIMM,True,157.99,2026-05-08T19:27:51.102628
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH32GX5M2N6400C36,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6400-cas-latency-cl36-desktop-memory-black/p/N82E16820982185?Item=N82E16820982185,DDR5,32,6400,36,2,DIMM,True,489.99,2026-05-08T19:27:51.103131
CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK32GX4M2E3200C16,CORSAIR,https://www.newegg.com/corsair-vengeance-lpx-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236541?Item=N82E16820236541,DDR4,32,3200,16,2,DIMM,False,219.99,2026-05-08T19:27:51.103803
Team Group 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory Model FF4D516G6000HC38ADC01,Team,https://www.newegg.com/team-group-16gb-ddr5-6000-cas-latency-cl38-memory-white/p/N82E16820985308?Item=9SIA2W0KS76423,DDR5,16,6000,38,2,DIMM,False,249.99,2026-05-08T19:27:51.104442
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36W,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-white/p/N82E16820982058?Item=N82E16820982058,DDR5,32,6000,36,2,DIMM,True,449.99,2026-05-08T19:27:51.105129
G.SKILL Ripjaws S5 Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F32GX2-RS5K,G.SKILL,https://www.newegg.com/g-skill-ripjaws-s5-series-64gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374497?Item=N82E16820374497,DDR5,64,6000,-1,2,DIMM,False,909.99,2026-05-08T19:27:51.105790
Crucial Pro Overclocking 32GB (2 x 16GB) DDR5 6400 (PC5 51200) Desktop Memory Model CP2K16G64C32U5B,Crucial,https://www.newegg.com/crucial-pro-overclocking-32gb-2-x-16gb-ddr5-6400-pc5-51200-cas-latency-cl32-desktop-memory-black/p/N82E16820156450?Item=N82E16820156450,DDR5,32,6400,32,2,DIMM,False,389.99,2026-05-08T19:27:51.106458
G.SKILL Flare X5 Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 Desktop Memory Model F5-6000J3636F16GX2-FX5,G.SKILL,https://www.newegg.com/g-skill-flare-x5-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374419?Item=N82E16820374419,DDR5,32,6000,-1,2,DIMM,False,479.99,2026-05-08T19:27:51.107218
G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-16GVKB,G.SKILL,https://www.newegg.com/g-skill-ripjaws-v-series-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820231941?Item=N82E16820231941,DDR4,16,3200,16,2,DIMM,False,154.99,2026-05-08T19:27:51.107848
"V-COLOR Manta XSky DDR5 32GB (2x16GB) 6400MHz CL32 1.4V SK Hynix IC RGB Gaming Desktop Upgrade Memory Module Black, for AMD EXPO TMXSAL1664832KWK",V-COLOR,https://www.newegg.com/v-color-32gb-2-x-16gb-ddr5-6400-pc5-51200-cas-latency-cl32-memory-desktop-memory-black/p/0RN-00MB-000U7?Item=0RN-00MB-000U7,DDR5,32,6400,32,2,DIMM,True,499.99,2026-05-08T19:27:51.108930
CORSAIR Vengeance 64GB (2 x 32GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model CMK64GX5M2B5200C40,CORSAIR,https://www.newegg.com/corsair-vengeance-64gb-ddr5-5200-cas-latency-cl40-desktop-memory-black/p/N82E16820236839?Item=N82E16820236839,DDR5,64,5200,40,2,DIMM,False,909.99,2026-05-08T19:27:51.109531
Team T-FORCE VULCAN Z 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model TLZGD416G3600HC18JDC01,Team,https://www.newegg.com/team-group-t-force-vulcan-z-16gb-ddr4-3600-cas-latency-cl18-desktop-memory-gray/p/N82E16820331542?Item=N82E16820331542,DDR4,16,3600,18,2,DIMM,False,149.99,2026-05-08T19:27:51.110099
G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-32GVK,G.SKILL,https://www.newegg.com/g-skill-ripjaws-v-series-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820232091?Item=N82E16820232091,DDR4,32,3200,16,2,DIMM,False,259.99,2026-05-08T19:27:51.110658
G.SKILL Flare X5 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3038F8GH2-FX5,G.SKILL,https://www.newegg.com/g-skill-flare-x5-16gb-2-x-8gb-ddr5-6000-pc5-48000-cas-latency-cl30-desktop-memory-black/p/N82E16820374781?Item=N82E16820374781,DDR5,16,6000,-1,2,DIMM,False,229.99,2026-05-08T19:27:51.111215
CORSAIR Vengeance RGB Pro 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMW32GX4M2E3200C16,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-pro-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236570?Item=9SIA2W0KT79699,DDR4,32,3200,16,2,DIMM,True,298.69,2026-05-08T19:27:51.111746
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH32GX5M2N6400C36W,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6400-cas-latency-cl36-desktop-memory-white/p/N82E16820982243?Item=N82E16820982243,DDR5,32,6400,36,2,DIMM,True,489.99,2026-05-08T19:27:51.112300
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK16GX4M2E3200C16,CORSAIR,https://www.newegg.com/corsair-vengeance-lpx-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236540?Item=N82E16820236540,DDR4,16,3200,16,2,DIMM,False,159.99,2026-05-08T19:27:51.112840
CORSAIR Vengeance 16GB (2 x 8GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop memory Model CMK16GX5M2B5200Z40,CORSAIR,https://www.newegg.com/corsair-vengeance-16gb-ddr5-5200-cas-latency-cl40-desktop-memory-gray/p/N82E16820982175?Item=N82E16820982175,DDR5,16,5200,-1,2,DIMM,False,269.99,2026-05-08T19:27:51.113366
CORSAIR Vengeance RGB 16GB (2 x 8GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model CMH16GX5M2B5200C40,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-16gb-ddr5-5200-cas-latency-cl40-desktop-memory-black/p/N82E16820982196?Item=N82E16820982196,DDR5,16,5200,40,2,DIMM,True,277.99,2026-05-08T19:27:51.114179
Patriot Viper Venom 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVV532G600C36K Compatible with AMD / Intel Gen14 Only,Patriot,https://www.newegg.com/patriot-memory-viper-venom-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-matte-black/p/N82E16820225315?Item=N82E16820225315,DDR5,32,6000,36,2,DIMM,False,369.99,2026-05-08T19:27:51.114637
Crucial Pro 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CP2K16G4DFRA32A,Crucial,https://www.newegg.com/crucial-pro-32gb-ddr4-3200-cas-latency-cl22-desktop-memory-black/p/N82E16820156326?Item=N82E16820156326,DDR4,32,3200,-1,2,DIMM,False,229.99,2026-05-08T19:27:51.115060
G.SKILL Ripjaws M5 Neo RGB Series 16GB 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX1-RM5NRK,G.SKILL,https://www.newegg.com/g-skill-ripjaws-m5-rgb-series-16gb-ddr5-6000-pc5-48000-cas-latency-cl36-desktop-memory-black/p/N82E16820374792?Item=N82E16820374792,DDR5,16,6000,-1,1,DIMM,True,239.99,2026-05-08T19:27:51.115632
Patriot Viper Elite 5 16GB 288-Pin PC RAM DDR5 6000 CL30(PC5 48000) Hynix Desktop Memory Model VEB516G6030W Compatible with AMD / Intel Gen14 Only,Patriot,https://www.newegg.com/patriot-memory-viper-elite-5-16gb-ddr5-6000-cas-latency-cl30-desktop-memory-white/p/N82E16820225357?Item=N82E16820225357,DDR5,16,6000,30,1,DIMM,False,199.99,2026-05-08T19:27:51.116213
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custom Lab Cherry Blossom Desktop Memory Model CMH32GX5M2B6000Z30WCB - White,CORSAIR,https://www.newegg.com/corsair-vengeance-rgb-32gb-2-x-16gb-ddr5-6000-pc5-48000-cas-latency-cl30-desktop-memory-white/p/N82E16820982277?Item=9SIC6MHKW11226,DDR5,32,6000,-1,2,DIMM,True,579.99,2026-05-08T19:27:51.116877
Crucial Pro 64GB (2 x 32GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CP2K32G4DFRA32A,Crucial,https://www.newegg.com/crucial-pro-64gb-ddr4-3200-cas-latency-cl22-desktop-memory-black/p/N82E16820156327?Item=N82E16820156327,DDR4,64,3200,-1,2,DIMM,False,449.99,2026-05-08T19:27:51.117284
